id,slug,raw_product_name,raw_category,raw_price_eur,raw_price_sar,raw_image_file,raw_image_source_url,raw_product_url,normalized_name,normalized_category,normalized_subcategory,normalized_image_main,source_page_used_for_description
pt-cubetto-plus-playset,cubetto-plus-playset,Primo Toys - Cubetto+,Playset,249.0,1101.17,images/cubetto_plus_playset.png,https://shop.moravia.education/media/catalog/product/cache/c1f214247d33ac5edb947951a751484a/c/u/cubetto_-playset_hero.png,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/cubettoplus.html,Cubetto+ Playset,Educational Kits,Playset,images/products/educational-kits-cubetto-plus-playset-01.webp,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/cubettoplus.html
pt-transparent-map-6x6,transparent-map-6x6,Primo - Cubetto Transparent Map 6x6,Extra / Map,32.9,145.5,images/transparent_map_6x6.png,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/m/i/microsoftteams-image_13_.png,https://shop.moravia.education/primo-transparent-map.html,Transparent Map 6x6,Sensory Development Kits,Transparent Map,images/products/sensory-development-kits-transparent-map-6x6-01.webp,https://shop.moravia.education/primo-transparent-map.html
pt-number-cards,number-cards,Primo - Theme cards for a transparent map - Numbers,Extra Cards,19.9,88.01,images/number_cards.png,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/p/t/pt-cards_123_box.png,https://shop.moravia.education/themed-cards-numbers.html,Number Cards,Educational Kits,Cards,images/products/educational-kits-number-cards-01.webp,https://primotoys.com/shop/number-cards/
pt-logic-pack,logic-pack,Cubetto Logic Pack,Adventure / Logic Pack,34.9,154.34,images/logic_pack.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/l/o/logic-pack-1.jpg,https://shop.moravia.education/cubetto-logic-pack.html,Logic Pack,Educational Kits,Logic Pack,images/products/educational-kits-logic-pack-01.webp,https://primotoys.com/shop/logic-pack-2/
pt-alphabet-cards,alphabet-cards,Primo - Theme cards for a transparent map - Alphabet,Extra Cards,19.9,88.01,images/alphabet_cards.png,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/p/t/pt-cards_abc_box.png,https://shop.moravia.education/themed-cards-nnumbers.html,Alphabet Cards,Educational Kits,Cards,images/products/educational-kits-alphabet-cards-01.webp,https://primotoys.com/shop/alphabet-cards/
pt-logic-blocks,logic-blocks,Primo - Cubetto Logic Blocks,Extra Blocks,32.9,145.5,images/logic_blocks.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/l/o/logic_blocks.jpg,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/logic-blocks.html,Logic Blocks,Educational Kits,Blocks,images/products/educational-kits-logic-blocks-01.webp,https://primotoys.com/shop/logic-blocks/
pt-direction-blocks,direction-blocks,Primo - Cubetto Direction Blocks,Extra Blocks,32.9,145.5,images/direction_blocks.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/d/i/directional_blocks.jpg,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/direction-blocks.html,Direction Blocks,Educational Kits,Blocks,images/products/educational-kits-direction-blocks-01.webp,https://primotoys.com/shop/direction_blocks/
pt-deep-space-adventure-map,deep-space-adventure-map,Primo - Cubetto Deep Space Adventure Map,Adventure Pack,32.9,145.5,images/deep_space_adventure_map.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/s/p/space_pack.jpg,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/cubetto-deep-space-adventure-map.html,Deep Space Adventure Map,Sensory Development Kits,Adventure Map,images/products/sensory-development-kits-deep-space-adventure-map-01.webp,https://primotoys.com/shop/deep-space/
pt-blue-ocean-adventure-map,blue-ocean-adventure-map,Primo - Cubetto Blue Ocean Adventure Map,Adventure Pack,32.9,145.5,images/blue_ocean_adventure_map.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/o/c/ocean_pack.jpg,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/cubetto-adventure-map-blue-ocean.html,Blue Ocean Adventure Map,Sensory Development Kits,Adventure Map,images/products/sensory-development-kits-blue-ocean-adventure-map-01.webp,https://primotoys.com/shop/blue-ocean-adventure-map/
pt-ancient-egypt-adventure-map,ancient-egypt-adventure-map,Primo - Cubetto Ancient Egypt Adventure Map,Adventure Pack,32.9,145.5,images/ancient_egypt_adventure_map.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/e/g/egypt_pack.jpg,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/adventure-map-ancient-egypt.html,Ancient Egypt Adventure Map,Sensory Development Kits,Adventure Map,images/products/sensory-development-kits-ancient-egypt-adventure-map-01.webp,https://primotoys.com/shop/ancient-egypt/
pt-big-city-adventure-map,big-city-adventure-map,Primo - Cubetto Big City Adventure Map,Adventure Pack,32.9,145.5,images/big_city_adventure_map.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/c/i/city_pack.jpg,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/adventure-map-big-city.html,Big City Adventure Map,Sensory Development Kits,Adventure Map,images/products/sensory-development-kits-big-city-adventure-map-01.webp,https://primotoys.com/shop/big-city-adventure-map/
legacy-matata-studio-coding-set-pro,matata-studio-coding-set-pro,MatataStudio Coding Set Pro,Legacy placeholder,,1085.95,assets/img/products/MatatStudio2.webp,./assets/img/products/MatatStudio2.webp,index.html (historical static products section),MatataStudio Coding Set Pro,Educational Kits,Coding Set,images/products/educational-kits-matata-studio-coding-set-pro-01.webp,index.html (historical static products section)
legacy-sphero-indi-student-kit,sphero-indi-student-kit,Sphero indi Student Kit,Legacy placeholder,,993.0,assets/img/products/SPHEROIndi2.webp,./assets/img/products/SPHEROIndi2.webp,index.html (historical static products section),Sphero indi Student Kit,Educational Kits,Robot Kit,images/products/educational-kits-sphero-indi-student-kit-01.webp,index.html (historical static products section)
legacy-lego-spike-essential,lego-spike-essential,LEGO SPIKE Essential,Legacy placeholder,,2147.0,assets/img/products/LEGOSPIKE4.webp,./assets/img/products/LEGOSPIKE4.webp,index.html (historical static products section),LEGO SPIKE Essential,Educational Kits,STEAM Set,images/products/educational-kits-lego-spike-essential-01.webp,index.html (historical static products section)
legacy-makeblock-mtiny-discover-kit,makeblock-mtiny-discover-kit,Makeblock mTiny Discover Kit,Legacy placeholder,,831.0,assets/img/products/Makeblock2.webp,./assets/img/products/Makeblock2.webp,index.html (historical static products section),Makeblock mTiny Discover Kit,Sensory Development Kits,Robot Kit,images/products/sensory-development-kits-makeblock-mtiny-discover-kit-01.webp,index.html (historical static products section)
